Código Nacional	Codigo Articulo	Descripción	Formato	PVL sin IVA 2026	PVP IVA Recomendado 2026	TIPO DE IVA	HEROE & BEST SELLER	Nombre Gama España	MARCA	TIPO DE PEDIDO FARMACIA
154841.2	P0014173	MELASCREEN FLUIDO ANTI-MANCHAS PROTECTOR SPF 50+	50ML	16,15	23,50	21%		HIPERPIGMENTACIONES	DU-DUCRAY	DIRECTO
152166.8	P0013952	MELASCREEN CREMA ANTI-MANCHAS PROTECTOR SPF 50+	50ML	16,15	23,59	21%		HIPERPIGMENTACIONES	DU-DUCRAY	DIRECTO
177213.8	P0004279	MELASCREEN FOTOENVEJEC. CUIDADO GLOB. MANOS SPF50+	50 ML	13,85	20,15	21%		HIPERPIGMENTACIONES	DU-DUCRAY	DIRECTO
249250.9	P0004262	DIASEPTYL SOLUCION	125 ML	8,40	12,26	21%		SANEANTES	DU-DUCRAY	DIRECTO
158675.9	P0004263	DIASEPTYL SPRAY	125 ML	8,40	12,26	21%		SANEANTES	DU-DUCRAY	DIRECTO
185177.2	P0014676	HIDROSIS CONTROL CREMA	50 ML	9,10	13,29	21%		ANTITRANSPIRANTES	DU-DUCRAY	DIRECTO
187106.0	P0014672	HIDROSIS CONTROL ROLL ON	40 ML	8,40	12,26	21%		ANTITRANSPIRANTES	DU-DUCRAY	DIRECTO
171541.8	P0017568	KERACNYL GEL LIMPIADOR PROMO	400 ML	14,26	19,20	21%		ACNE	DU-DUCRAY	CAMPAÑA
179108.5	P0017051	KERACNYL SERUM REGULADOR ANTIIMPERFECCIONES	30 ML	17,80	25,90	21%	HEROE	ACNE	DU-DUCRAY	CAMPAÑA
223780.3	P0017938	KERACNYL SPRAY CORPORAL	150 ML	17,00	24,70	21%		ACNE	DU-DUCRAY	CAMPAÑA
159416.7	P0011234	KERACNYL PP+	30 ML	13,20	19,20	21%		ACNE	DU-DUCRAY	CAMPAÑA
204672.6	P0014743	KERACNYL FLUIDO SPF 50+	50 ML	13,95	20,30	21%		ACNE	DU-DUCRAY	CAMPAÑA
171452.7	P0014905	KERACNYL REPAIR CREMA	50 ML	13,50	19,65	21%		ACNE	DU-DUCRAY	CAMPAÑA
171542.5	P0017637	KERACNYL REPAIR BALSAMO LABIAL	15 ML	7,40	10,90	21%		ACNE	DU-DUCRAY	CAMPAÑA
223605.9	P0017387	EXOMEGA GEL LIMPIADOR FACIAL CALMANTE	200 ML	12,40	17,90	21%		EXOMEGA FACIAL	AD-A-DERMA	DIRECTO
